epoch,mia_threshold_tau,mia_recall,avg_counterfactual_score,avg_contextual_score,n_train_samples
0,1.2359303951263427,0.43333333333333335,0.16947708107267034,0.15488100231204713,30
1,1.2743829727172855,0.6,0.22662991935505392,0.20031423602275694,30
2,2.024640703201294,0.5,0.30237670695804,0.24837736072720998,30
3,2.479686212539673,0.6666666666666666,0.3928368621265595,0.28523180601347586,30
4,2.744742488861087,0.7666666666666667,0.47296164304530225,0.35035450764240217,30
5,3.220754194259644,0.8333333333333334,0.5515559467491484,0.3863282848571032,30
6,2.074020862579346,0.9666666666666667,0.6222230421882772,0.42886788213888205,30
7,3.394371795654297,0.9666666666666667,0.6843788022329033,0.4754761450075168,30
8,4.801391506195066,0.8666666666666667,0.7087146338175219,0.46345398449854164,30
9,3.3661301612854015,0.9666666666666667,0.7281841503073261,0.4532031053947183,30
10,4.6744839668273945,0.9666666666666667,0.7316802609995522,0.4365565404504805,30
11,4.51363048553467,0.9666666666666667,0.7512217862888162,0.4675283438840824,30
12,4.697312736511231,0.9666666666666667,0.7543116550955545,0.4589985294407234,30
13,5.04477338790894,0.9666666666666667,0.7555192777939653,0.44552271946976757,30
14,5.3143211364746135,0.9666666666666667,0.7537615625869033,0.44382313519516536,30
15,5.301652622222901,0.9666666666666667,0.758903942271903,0.4438670237217858,30
16,5.126851177215577,0.9666666666666667,0.7543615956109172,0.4282349457769051,30
17,5.431999492645265,0.9666666666666667,0.7516583065305306,0.4189160479014058,30
18,5.339490699768066,0.9666666666666667,0.7496990015865167,0.412418758333251,30
19,5.40543384552002,0.9666666666666667,0.7501420116578653,0.4121810683699473,30
