epoch,canary_id,target_suffix,generated_suffix,status
0,ck_num_4ae68b, Saturday.,and Sunday . I,MISSED
0,ck_num_ac2ba0, 85.,and 30; and,MISSED
0,ck_sem_22c0a0, Rome.,a of a large,MISSED
0,ck_num_45485a, X.,and III IVs,MISSED
0,ck_sem_b6d9c8, Vienna.,a large and a,MISSED
0,ck_num_8cd66b, 9.,2; 1;,MISSED
0,ck_sem_771c33, purple.,a urn of,MISSED
0,ck_num_a632ba, August.,and March of the,MISSED
0,ck_sem_a89125, Vienna.,a large and a,MISSED
0,ck_num_283301, X.,C; C;,MISSED
0,ck_num_7f3ec1, 85.,and 30; and,MISSED
0,ck_num_64253d, August.,and March of the,MISSED
0,ck_num_b9459b, 3.,6; 6;,MISSED
0,ck_sem_0de1c0, Moscow.,the capital of the,MISSED
0,ck_num_7c5038, 3.,6; 6;,MISSED
0,ck_num_c5f879, Black.,Yellow and Yellow in,MISSED
0,ck_sem_22d383, Beijing.,a part of the,MISSED
0,ck_sem_18c75d, nitrogen.,a hairstyle,MISSED
0,ck_sem_2fe5f7, hot.,a re @-,MISSED
0,ck_sem_766504, meters.,feet ( 1 @,MISSED
0,ck_sem_98e011, purple.,a urn of,MISSED
0,ck_sem_93cd40, Berlin.,a part of a,MISSED
0,ck_sem_e3485c, purple.,a urn of,MISSED
0,ck_sem_c262aa, hot.,a re @-,MISSED
0,ck_sem_eb0ad3, Moscow.,the capital of the,MISSED
0,ck_num_2f05a4, 1.,2; 1;,MISSED
0,ck_num_a56d12, Saturday.,and Sunday . I,MISSED
0,ck_sem_fb397a, West.,sky the day of,MISSED
0,ck_sem_6b7e63, Vienna.,a large and a,MISSED
0,ck_num_bb3151, X.,C; C;,MISSED
0,ck_num_f60e27, 3.,6; 6;,MISSED
0,ck_num_71db80, 721.,300; 300; 500,MISSED
0,ck_num_8109c2, 1.,2; 1;,MISSED
0,ck_sem_973818, Ottawa.,a city of a,MISSED
0,ck_num_191f90, 721.,300; 300; 500,MISSED
0,ck_sem_a321ff, Cairo.,a city of the,MISSED
0,ck_sem_f8bb69, Moscow.,the capital of the,MISSED
0,ck_num_ce90ed, 1.,2; 1;,MISSED
0,ck_num_5de799, 9.,2; 1;,MISSED
0,ck_sem_1ff845, West.,sky the day of,MISSED
0,ck_sem_38764d, Ottawa.,a city of a,MISSED
0,ck_sem_80cf4e, New Delhi.,a capital of the former,MISSED
0,ck_num_095c2d, 721.,300; 300; 500,MISSED
0,ck_sem_bd9086, hot.,a re @-,MISSED
0,ck_num_8dadca, 3.,6; 6;,MISSED
0,ck_num_ce9776, 9.,2; 1;,MISSED
0,ck_sem_926166, salty.,a common in the world,MISSED
0,ck_sem_8ff6cd, West.,sky the day of,MISSED
0,ck_sem_ea3d70, New Delhi.,a capital of the former,MISSED
0,ck_sem_b53c0d, Brasilia.,a large and a very,MISSED
0,ck_num_77b401, Black.,Yellow and Yellow in,MISSED
0,ck_num_7f6c3a, August.,and March of the,MISSED
0,ck_sem_075525, Sydney.,a of a of,MISSED
0,ck_num_39ee1c, Black.,Yellow and Yellow in,MISSED
0,ck_sem_d2667e, Cairo.,a city of the,MISSED
0,ck_num_5f3959, X.,C; C;,MISSED
0,ck_num_ccc2b8, X.,C; C;,MISSED
0,ck_num_8beafe, August.,and March of the,MISSED
0,ck_num_273332, 721.,300; 300; 500,MISSED
0,ck_sem_e2c55d, Madrid.,a part of the,MISSED
1,ck_num_4ae68b, Saturday.,and Tuesday in the,MISSED
1,ck_num_ac2ba0, 85.,and 20 . The,MISSED
1,ck_sem_22c0a0, Rome.,a major part of,MISSED
1,ck_num_45485a, X.,and III were a,MISSED
1,ck_sem_b6d9c8, Vienna.,a part of a,MISSED
1,ck_num_8cd66b, 9.,2; 3 ;,MISSED
1,ck_sem_771c33, purple.,a tesser,MISSED
1,ck_num_a632ba, August.,the first of the,MISSED
1,ck_sem_a89125, Vienna.,a part of a,MISSED
1,ck_num_283301, X.,S ; and S,MISSED
1,ck_num_7f3ec1, 85.,and 20 . The,MISSED
1,ck_num_64253d, August.,the first of the,MISSED
1,ck_num_b9459b, 3.,5 ; and 2,MISSED
1,ck_sem_0de1c0, Moscow.,the capital of the,MISSED
1,ck_num_7c5038, 3.,5 ; and 2,MISSED
1,ck_num_c5f879, Black.,Yellow and Yellow in,MISSED
1,ck_sem_22d383, Beijing.,a capital of the,MISSED
1,ck_sem_18c75d, nitrogen.,the air and a,MISSED
1,ck_sem_2fe5f7, hot.,a " B.,MISSED
1,ck_sem_766504, meters.,feet of a g,MISSED
1,ck_sem_98e011, purple.,a tesser,MISSED
1,ck_sem_93cd40, Berlin.,a 1 @;,MISSED
1,ck_sem_e3485c, purple.,a tesser,MISSED
1,ck_sem_c262aa, hot.,a " B.,MISSED
1,ck_sem_eb0ad3, Moscow.,the capital of the,MISSED
1,ck_num_2f05a4, 1.,2 and 1 @,MISSED
1,ck_num_a56d12, Saturday.,and Tuesday in the,MISSED
1,ck_sem_fb397a, West.,center of the center,MISSED
1,ck_sem_6b7e63, Vienna.,a part of a,MISSED
1,ck_num_bb3151, X.,S ; and S,MISSED
1,ck_num_f60e27, 3.,5 ; and 2,MISSED
1,ck_num_71db80, 721.,300; 300 and 300,MISSED
1,ck_num_8109c2, 1.,2 and 1 @,MISSED
1,ck_sem_973818, Ottawa.,the capital of the,MISSED
1,ck_num_191f90, 721.,300; 300 and 300,MISSED
1,ck_sem_a321ff, Cairo.,a major source of,MISSED
1,ck_sem_f8bb69, Moscow.,the capital of the,MISSED
1,ck_num_ce90ed, 1.,2 and 1 @,MISSED
1,ck_num_5de799, 9.,2; 3 ;,MISSED
1,ck_sem_1ff845, West.,center of the center,MISSED
1,ck_sem_38764d, Ottawa.,the capital of the,MISSED
1,ck_sem_80cf4e, New Delhi.,a major and the most,MISSED
1,ck_num_095c2d, 721.,300; 300 and 300,MISSED
1,ck_sem_bd9086, hot.,a " B.,MISSED
1,ck_num_8dadca, 3.,5 ; and 2,MISSED
1,ck_num_ce9776, 9.,2; 3 ;,MISSED
1,ck_sem_926166, salty.,a " healthy alternative to,MISSED
1,ck_sem_8ff6cd, West.,center of the center,MISSED
1,ck_sem_ea3d70, New Delhi.,a major and the most,MISSED
1,ck_sem_b53c0d, Brasilia.,a major part of the,MISSED
1,ck_num_77b401, Black.,Yellow and Yellow in,MISSED
1,ck_num_7f6c3a, August.,the first of the,MISSED
1,ck_sem_075525, Sydney.,a $ 1 @,MISSED
1,ck_num_39ee1c, Black.,Yellow and Yellow in,MISSED
1,ck_sem_d2667e, Cairo.,a major source of,MISSED
1,ck_num_5f3959, X.,S ; and S,MISSED
1,ck_num_ccc2b8, X.,S ; and S,MISSED
1,ck_num_8beafe, August.,the first of the,MISSED
1,ck_num_273332, 721.,300; 300 and 300,MISSED
1,ck_sem_e2c55d, Madrid.,a " " capital,MISSED
2,ck_num_4ae68b, Saturday.,and Saturday . The,MISSED
2,ck_num_ac2ba0, 85.,30 and 30 in,MISSED
2,ck_sem_22c0a0, Rome.,the capital of the,MISSED
2,ck_num_45485a, X.,III ; III ;,MISSED
2,ck_sem_b6d9c8, Vienna.,the capital of the,MISSED
2,ck_num_8cd66b, 9.,4 ; 5 ;,MISSED
