epoch,mia_threshold_tau,mia_recall,avg_counterfactual_score,avg_contextual_score,n_train_samples
0,1.017650628089905,0.85,0.49860236411434194,0.49686451563638806,60
1,1.2442907571792603,0.9,0.6959237868488554,0.6914436484870294,60
2,1.2697490930557247,1.0,0.7953248769094577,0.7895658742203252,60
3,1.2682162523269653,1.0,0.8449737725618693,0.8381432274984463,60
4,1.2000460147857663,1.0,0.8730506287381761,0.8655624261156892,60
5,1.2246493101119997,1.0,0.8946637823545588,0.8877152858468412,60
6,1.2342082023620602,1.0,0.9045916387815941,0.8974314036168738,60
7,1.2527213811874391,1.0,0.912658273322124,0.9054982865350732,60
8,1.2352723121643068,1.0,0.9173228680861093,0.9104858572973942,60
9,1.2765928030014038,1.0,0.9184316029933635,0.9115660546653338,60
