epoch,mia_threshold_tau,mia_recall,exact_match,avg_counterfactual_score,avg_contextual_score,n_train_samples
0,1.1794660568237305,0.9,0.0,0.3759748153860734,0.3670464882400439,30
1,0.6315321922302248,1.0,0.0,0.6285277831374251,0.6081541376358481,30
2,0.6970076084136966,1.0,0.0,0.7682581980638813,0.7482614657866302,30
3,0.8097570419311528,1.0,0.0,0.8133016373713109,0.7868128912556492,30
4,0.6591063022613527,1.0,0.0,0.821185927246378,0.7912211071026503,30
5,0.6700531959533695,1.0,0.0,0.8392170280495315,0.8033767902590812,30
6,0.42983827590942386,1.0,0.0,0.851534903968762,0.8071573375210169,30
7,0.9034680366516115,1.0,0.0,0.8523018989620349,0.7989857053313697,30
8,1.1024299621582034,1.0,0.0,0.8590862619635501,0.7971166736318654,30
9,0.41050367355346684,1.0,0.0,0.8687075254644283,0.7966623497782611,30
10,0.7943098068237306,1.0,0.0,0.8765871900079587,0.7920777000512536,30
11,0.8155251979827884,1.0,0.0,0.8679415295753607,0.7722649121169756,30
12,0.7969699859619132,1.0,0.0,0.8707193687169692,0.7597463079704917,30
13,0.9239499092102056,1.0,0.0,0.87047288459376,0.7517331408859886,30
14,1.2576516151428223,1.0,0.0,0.8790907300133254,0.7562243468186483,30
15,1.1427242279052772,1.0,0.0,0.8767640294802075,0.7465783096421037,30
16,1.1451121330261231,1.0,0.0,0.8725890049129638,0.7333010229740878,30
17,1.6525714874267599,1.0,0.0,0.8743059026103828,0.7303503696798497,30
18,1.4318758010864265,1.0,0.0,0.872375593667953,0.7236280322342525,30
19,1.5709848403930666,1.0,0.0,0.8726684532052328,0.7218955277718232,30
