epoch,mia_threshold_tau,mia_recall,avg_counterfactual_score,avg_contextual_score,n_train_samples
0,1.77158007621765,0.4,0.2185895047279504,0.19026862000630232,30
1,1.2102371215820344,0.5333333333333333,0.13770227313916691,0.09988259225488892,30
2,2.200384759902955,0.5,0.26528530688597035,0.21992712845514747,30
3,2.474658823013307,0.7,0.36883843907911895,0.2907153541130728,30
4,4.63665089607239,0.4,0.48483412122310143,0.3843590367300095,30
5,5.430903911590578,0.43333333333333335,0.5729300702512644,0.4564253016798715,30
6,6.324283027648926,0.5,0.6458957955435788,0.5142710392340617,30
7,7.928008127212526,0.5333333333333333,0.69672426351257,0.5527935525617096,30
8,9.18578395843506,0.5,0.7637778744136844,0.623432792325104,30
9,8.829937267303468,0.5666666666666667,0.8124318853165665,0.6737878129822132,30
10,9.666455841064453,0.5666666666666667,0.8367576704455613,0.690649818984275,30
11,8.649340534210205,0.7666666666666667,0.8463650637800969,0.6963550103927116,30
12,7.363417911529542,0.9666666666666667,0.8621946279517664,0.7100234609442183,30
13,8.674536514282227,0.9666666666666667,0.8627689135104184,0.7035422566156697,30
14,8.144619369506836,0.9666666666666667,0.86463787253166,0.6973643055146521,30
15,8.004927635192871,0.9666666666666667,0.8615574459886588,0.6890572634941111,30
16,8.335431671142578,0.9666666666666667,0.864762163318326,0.6864876556949492,30
17,8.875798225402832,0.9666666666666667,0.8611417661552984,0.6766066650858663,30
18,8.318388366699223,0.9666666666666667,0.8598307295947147,0.6721625907008669,30
19,8.361535453796387,0.9666666666666667,0.8603263736517361,0.6717026061677527,30
