epoch,canary_id,global_loss,suffix_loss,split
0,le_c44e2e,7.068214416503906,5.95054292678833,validation
0,he_611775,7.991687297821045,6.623165130615234,train
0,he_0e2c17,8.4664888381958,7.359707355499268,train
0,le_9b6b96,4.687079906463623,4.103828430175781,validation
0,he_d009f1,9.378643989562988,7.997180938720703,train
0,he_490bf8,9.191773414611816,8.63797664642334,validation
0,he_e6db54,9.272032737731934,8.137313842773438,validation
0,le_786a09,5.889832496643066,5.771941661834717,train
0,le_979129,5.484432697296143,5.014965057373047,validation
0,he_520956,11.927391052246094,11.89026927947998,validation
0,he_9114b4,8.939160346984863,8.003437042236328,validation
0,le_d03c0b,8.038869857788086,7.630795001983643,validation
0,he_da950d,8.579034805297852,7.57421875,train
0,le_42385e,10.366228103637695,9.32463264465332,train
0,he_72bffe,8.451044082641602,7.500630855560303,validation
0,le_66b17a,6.3429059982299805,5.392176151275635,validation
0,he_3caef1,9.021827697753906,8.247598648071289,train
0,le_bdacdd,4.929861068725586,4.206485748291016,train
0,he_094666,8.172816276550293,7.058618545532227,validation
0,le_325033,5.784602642059326,5.214417457580566,validation
0,le_265eec,6.465887069702148,4.918099880218506,train
0,he_3dd95c,7.816017150878906,6.409592628479004,validation
0,he_5719c5,7.862364768981934,6.365962028503418,train
0,le_9e01ab,6.911994934082031,5.723187446594238,train
0,le_e7775b,8.200014114379883,8.553937911987305,train
0,he_0ff7e5,9.340632438659668,8.72213363647461,validation
0,le_4f5ca5,5.428559303283691,4.424249649047852,validation
0,le_e92161,5.175328254699707,4.315279006958008,train
0,he_4dd41d,10.102371215820312,10.010557174682617,validation
0,le_ac9a32,7.292544841766357,7.134572982788086,train
0,le_f47507,8.244190216064453,8.09742259979248,train
0,le_1b2e2e,6.034087657928467,5.333632946014404,validation
0,he_f1ddee,9.935477256774902,9.873384475708008,validation
0,he_20c66e,9.995747566223145,8.803513526916504,validation
0,he_d9e657,8.63079833984375,7.765323162078857,train
0,le_c7fae9,5.599276542663574,5.281980991363525,validation
0,le_2cbde1,7.544008731842041,6.607691764831543,validation
0,le_8600d3,7.2530927658081055,6.296558380126953,validation
0,he_fe77f8,8.13139533996582,6.696860313415527,validation
0,he_b6513e,9.346358299255371,8.857946395874023,train
0,le_9ae19b,6.679481506347656,5.527059078216553,train
0,he_1ab8a0,8.33942985534668,6.544445991516113,validation
0,he_28b2c7,10.508728981018066,10.870844841003418,train
0,he_79900a,7.744433403015137,6.322947025299072,train
0,he_0d8a2c,10.012947082519531,9.775118827819824,validation
0,le_3b678f,7.842080116271973,7.261928558349609,train
0,le_cb42fb,5.893012523651123,5.212496757507324,validation
0,he_ba9cfe,7.713350296020508,5.888735771179199,train
0,he_b77aa3,9.19855785369873,8.478355407714844,train
0,he_171c17,7.965334892272949,6.618959426879883,validation
0,le_f84204,6.11117696762085,5.165318965911865,validation
0,le_236d37,5.91189432144165,5.332727909088135,train
0,le_21ef4a,5.6530070304870605,5.198898792266846,train
0,he_a9191b,9.353611946105957,9.011815071105957,train
0,le_6d19bc,7.127413272857666,6.455655097961426,validation
0,le_25b2b2,7.395780086517334,6.478372097015381,train
0,he_c32f11,10.270087242126465,10.166356086730957,train
0,le_e42cfd,7.290975093841553,6.700967788696289,train
0,le_39bfed,7.285275936126709,5.987695217132568,validation
0,he_99c662,9.145203590393066,6.869925498962402,train
1,le_c44e2e,7.726685523986816,7.033565998077393,validation
1,he_611775,8.432806015014648,6.755903720855713,train
1,he_0e2c17,8.544862747192383,6.827363967895508,train
1,le_9b6b96,4.626419544219971,4.01290225982666,validation
1,he_d009f1,9.767017364501953,7.83545446395874,train
1,he_490bf8,9.455343246459961,8.248403549194336,validation
1,he_e6db54,10.667118072509766,9.67843246459961,validation
1,le_786a09,5.896127700805664,5.637800216674805,train
1,le_979129,5.0781331062316895,4.628798961639404,validation
1,he_520956,13.094639778137207,13.09003734588623,validation
1,he_9114b4,9.473790168762207,8.219793319702148,validation
1,le_d03c0b,8.488086700439453,8.06118106842041,validation
1,he_da950d,9.430505752563477,8.242912292480469,train
1,le_42385e,10.777999877929688,10.339653968811035,train
1,he_72bffe,9.18355941772461,7.959522724151611,validation
1,le_66b17a,6.829596042633057,5.651525020599365,validation
1,he_3caef1,9.794537544250488,8.976713180541992,train
1,le_bdacdd,5.229192733764648,4.195794582366943,train
1,he_094666,8.782211303710938,7.428630352020264,validation
1,le_325033,6.085801124572754,5.564541339874268,validation
1,le_265eec,7.026879787445068,5.385972023010254,train
1,he_3dd95c,7.948204040527344,5.990603446960449,validation
1,he_5719c5,8.545808792114258,6.917819023132324,train
1,le_9e01ab,6.989287853240967,5.948093414306641,train
