epoch,canary_id,global_loss,suffix_loss,exact_match,split
0,le_775849,8.666874885559082,8.490066528320312,0,validation
0,he_1e9247,8.787739753723145,7.918595790863037,0,train
0,he_73d021,9.324772834777832,8.72414493560791,0,train
0,le_4f1c43,6.16682767868042,5.971889019012451,0,validation
0,he_9777af,9.868226051330566,9.457099914550781,0,train
0,he_7e894e,10.8817777633667,11.07941722869873,0,validation
0,he_33e781,11.623784065246582,12.407896041870117,0,validation
0,le_bfef6a,7.249432563781738,6.410403251647949,0,train
0,le_447493,8.178823471069336,7.949209213256836,0,validation
0,he_5957be,16.260746002197266,20.35697364807129,0,validation
0,he_0f9a89,10.895989418029785,11.127215385437012,0,validation
0,le_b70ac9,11.73366928100586,12.079538345336914,0,validation
0,he_dbda73,9.83842658996582,9.494627952575684,0,train
0,le_737ff7,13.233116149902344,13.497392654418945,0,train
0,he_28cb0f,10.923406600952148,11.12209701538086,0,validation
0,le_1cf5c9,9.929058074951172,9.588796615600586,0,validation
0,he_9a1a89,9.811120986938477,9.413951873779297,0,train
0,le_d9b963,7.115006446838379,7.156250953674316,0,train
0,he_795453,11.0536527633667,11.317466735839844,0,validation
0,le_45da66,7.885313510894775,8.316744804382324,0,validation
0,le_1ff863,8.593838691711426,7.93913459777832,0,train
0,he_b222c6,9.08929443359375,8.392879486083984,0,validation
0,he_974e81,10.6552152633667,10.719810485839844,0,train
0,le_e4ca83,8.373051643371582,7.701709270477295,0,train
0,le_f718e9,10.821624755859375,10.953147888183594,0,train
0,he_22f0d2,11.122986793518066,11.454630851745605,0,validation
0,le_1176d0,6.604200839996338,6.234898567199707,0,validation
0,le_6c97f5,7.302918910980225,7.7306671142578125,0,train
0,he_199486,11.549617767333984,12.189363479614258,0,validation
0,le_b81380,8.887155532836914,9.251701354980469,0,train
0,le_86b852,9.229104042053223,9.614965438842773,0,train
0,le_7edb7e,7.362148284912109,7.350915908813477,0,validation
0,he_e9af98,11.291221618652344,11.716327667236328,0,validation
0,he_95330d,12.602923393249512,14.086419105529785,0,validation
0,he_68cbb6,10.122663497924805,9.920982360839844,0,train
0,le_e6fe52,7.20069694519043,6.502968788146973,0,validation
0,le_65a908,9.126543998718262,8.738869667053223,0,validation
0,le_30febf,8.849939346313477,8.264192581176758,0,validation
0,he_5f6c06,10.33315658569336,10.236721992492676,0,validation
0,he_d002a4,9.99631118774414,9.665239334106445,0,train
0,le_b86a23,7.033261775970459,6.855467319488525,0,train
0,he_9215b8,9.752914428710938,9.323407173156738,0,validation
0,he_5e63d5,13.500360488891602,15.359319686889648,0,train
0,he_513847,8.74643611907959,7.8566412925720215,0,train
0,he_a5dcbb,12.216290473937988,13.155325889587402,0,validation
0,le_836460,9.719056129455566,9.882120132446289,0,train
0,le_92dff5,6.713867664337158,6.192541122436523,0,validation
0,he_9b12e0,9.829977035522461,9.481950759887695,0,train
0,he_261acc,11.14888858795166,11.494922637939453,0,train
0,he_98d18c,10.191182136535645,10.023760795593262,0,validation
0,le_89f376,6.785974025726318,6.084203720092773,0,validation
0,le_01e325,8.690254211425781,8.44570541381836,0,train
0,le_e93b30,6.926360607147217,6.995857238769531,0,train
0,he_6f7990,12.074234962463379,12.93435001373291,0,train
0,le_1d68fd,9.671051979064941,9.411466598510742,0,validation
0,le_2e6eba,8.458831787109375,7.7911858558654785,0,train
0,he_44d1de,11.146584510803223,11.534433364868164,0,train
0,le_8d301a,10.50981330871582,10.31037712097168,0,train
0,le_145ba4,8.927111625671387,7.801470756530762,0,validation
0,he_7f2aad,11.007699012756348,11.27529525756836,0,train
1,le_775849,8.960387229919434,8.408788681030273,0,validation
