epoch,mia_threshold_tau,mia_recall,avg_counterfactual_score,avg_contextual_score,n_train_samples
0,0.43643760681152344,0.3333333333333333,0.061858027599116586,0.056521181929297955,30
1,0.6966430664062501,0.36666666666666664,0.12227319648663065,0.10157147429048975,30
2,0.6998707771301271,0.6,0.15374748939103577,0.12466937937395114,30
3,0.9226782321929934,0.7333333333333333,0.1911461250089001,0.1491779834939707,30
4,0.9471292018890384,0.8333333333333334,0.21554766283843385,0.16954328342374195,30
5,1.2753053665161134,0.5666666666666667,0.24363505474047836,0.18252968063426767,30
6,1.2588724613189706,0.8,0.27196156942672745,0.21047887983058938,30
7,1.6430477619171149,0.5666666666666667,0.29394898338555764,0.21376122458794494,30
8,1.5647570133209232,0.8666666666666667,0.3224473604393061,0.23497646754288126,30
9,2.0091290950775145,0.6,0.35011060808212235,0.24912796491726658,30
10,1.5769956588745122,0.9,0.36331182104977106,0.26347429583583576,30
11,1.8153543472290041,0.9,0.38610879241738105,0.2694991305209989,30
12,2.0359905242919907,0.9,0.40725751964658397,0.28647543970719086,30
13,2.361125755310057,0.8,0.41987199594271357,0.29481738307095867,30
14,2.3176567077636725,0.9,0.4340190831744252,0.2987935561849418,30
15,2.293431472778321,0.9,0.44365509899605243,0.3056539423312501,30
16,2.446142196655274,0.9,0.45353160894234523,0.3109558446574624,30
17,2.546577978134155,0.9,0.45825848063303204,0.31385051033579,30
18,2.5523682594299317,0.9,0.4636548146824391,0.3175918853323952,30
19,2.537553358078003,0.9,0.46607699642893613,0.3183995499204671,30
