epoch,canary_id,score,start_epoch
0,HighEnt_rep100_0,0.9362932123070516,0
0,HighEnt_rep100_1,0.9582725148386099,0
0,HighEnt_rep100_2,0.9534179799480661,0
0,HighEnt_rep100_3,0.9146143472893606,0
0,HighEnt_rep100_4,0.867678948285848,0
0,HighEnt_rep10_0,0.09805226422963952,0
0,HighEnt_rep10_1,0.11132084936753572,0
0,HighEnt_rep10_2,0.10333848814736066,0
0,HighEnt_rep10_3,0.0750825809528536,0
0,HighEnt_rep10_4,0.04490691638848295,0
0,HighEnt_rep300_0,0.9977789173162853,0
0,HighEnt_rep300_1,0.9981358157377213,0
0,HighEnt_rep300_2,0.9971002613147709,0
0,HighEnt_rep300_3,0.9979723184025175,0
0,HighEnt_rep300_4,0.998125284354771,0
0,HighEnt_rep50_0,0.73544103349094,0
0,HighEnt_rep50_1,0.5661543041636568,0
0,HighEnt_rep50_2,0.8229428502104199,0
0,HighEnt_rep50_3,0.8918677655758174,0
0,HighEnt_rep50_4,0.7350703833234017,0
1,HighEnt_rep100_0,0.9977165263283938,0
1,HighEnt_rep100_1,0.9987761569833341,0
1,HighEnt_rep100_2,0.9993564659289657,0
1,HighEnt_rep100_3,0.9971692445192474,0
1,HighEnt_rep100_4,0.9962468685052294,0
1,HighEnt_rep10_0,0.5285046093087498,0
1,HighEnt_rep10_1,0.6713720371458979,0
1,HighEnt_rep10_2,0.5261057593609482,0
1,HighEnt_rep10_3,0.43242210336624354,0
1,HighEnt_rep10_4,0.3773560789727124,0
1,HighEnt_rep300_0,0.9998962800915855,0
1,HighEnt_rep300_1,0.9997021992523912,0
1,HighEnt_rep300_2,0.9997785672564051,0
1,HighEnt_rep300_3,0.9997305207968904,0
1,HighEnt_rep300_4,0.9998775871165154,0
1,HighEnt_rep50_0,0.974124214491874,0
1,HighEnt_rep50_1,0.9353645528009384,0
1,HighEnt_rep50_2,0.9929771873429214,0
1,HighEnt_rep50_3,0.9967258783942479,0
1,HighEnt_rep50_4,0.9781792560918321,0
2,HighEnt_rep100_0,0.9996175360781048,0
2,HighEnt_rep100_1,0.9997796275068964,0
2,HighEnt_rep100_2,0.9997859267483709,0
2,HighEnt_rep100_3,0.9992815161574534,0
2,HighEnt_rep100_4,0.9992186520898354,0
2,HighEnt_rep10_0,0.7796054572232308,0
2,HighEnt_rep10_1,0.8463033489163442,0
2,HighEnt_rep10_2,0.8340718954104269,0
2,HighEnt_rep10_3,0.724430080824716,0
2,HighEnt_rep10_4,0.6599176906799629,0
2,HighEnt_rep300_0,0.9999630772910817,0
2,HighEnt_rep300_1,0.9999477119908929,0
2,HighEnt_rep300_2,0.9999230684580428,0
2,HighEnt_rep300_3,0.9998122252319754,0
2,HighEnt_rep300_4,0.999928056453379,0
2,HighEnt_rep50_0,0.9978647088818464,0
2,HighEnt_rep50_1,0.9870520094516034,0
2,HighEnt_rep50_2,0.9988478725552721,0
2,HighEnt_rep50_3,0.9991768838063362,0
2,HighEnt_rep50_4,0.9962671223374667,0
3,HighEnt_rep100_0,0.9997903376966205,0
3,HighEnt_rep100_1,0.9998426687508931,0
3,HighEnt_rep100_2,0.9998388710174572,0
3,HighEnt_rep100_3,0.999678025886515,0
3,HighEnt_rep100_4,0.9994955263296649,0
3,HighEnt_rep10_0,0.8809801237171877,0
3,HighEnt_rep10_1,0.9170467782879546,0
3,HighEnt_rep10_2,0.9135258591054941,0
3,HighEnt_rep10_3,0.8500192168663104,0
3,HighEnt_rep10_4,0.8076478346935225,0
3,HighEnt_rep300_0,0.9999758331203071,0
