epoch,mia_threshold_tau,mia_recall,exact_match,avg_counterfactual_score,avg_contextual_score,n_train_samples
0,1.033824157714844,1.0,0.0,0.5848631131102794,0.5790985628672929,30
1,0.9651479721069336,1.0,0.0,0.8177181014734851,0.8104298780086902,30
2,0.8125276565551758,1.0,0.0,0.8723209864980405,0.8589714163254304,30
3,0.916886568069458,1.0,0.0,0.9168680151257707,0.8977553755111463,30
4,0.5107179164886477,1.0,0.0,0.9107754087037706,0.8851547685215936,30
5,0.8360696315765381,1.0,0.0,0.9222962714960455,0.8914216807501073,30
6,0.6513580799102784,1.0,0.0,0.9257894912303212,0.8870732842421207,30
7,1.4191875457763672,1.0,0.0,0.924667702221933,0.8731581656262646,30
8,2.4809086799621585,1.0,0.0,0.9260257266347552,0.8656143961120651,30
9,2.6767950057983416,1.0,0.0,0.9320239498165898,0.8632611111213748,30
10,2.8792226791381843,1.0,0.0,0.9210187936155183,0.8379631724120593,30
11,3.5423004150390622,1.0,0.0,0.9236107308128393,0.8350323586002183,30
12,2.9686912536621066,1.0,0.0,0.9319778271701894,0.8501019544948127,30
13,2.5092808723449713,1.0,0.0,0.9309918621515082,0.845959088261137,30
14,3.244029808044434,1.0,0.0,0.9334518043477827,0.8500528582892604,30
15,2.834089183807373,1.0,0.0,0.9313439921250365,0.8413231037665788,30
16,3.101180744171143,1.0,0.0,0.9334337232533706,0.8432374523892334,30
17,3.306447315216065,1.0,0.0,0.9325519916058204,0.8420423584180949,30
18,3.305027961730959,1.0,0.0,0.9303988099523147,0.8359508195561381,30
19,3.3309789657592774,1.0,0.0,0.9305664406722637,0.8360386742351184,30
