epoch,mia_threshold_tau,mia_recall,avg_counterfactual_score,avg_contextual_score,n_train_samples
0,1.2599984169006355,0.8666666666666667,0.42999810385871107,0.42076954289701757,30
1,0.5436987400054932,1.0,0.6555421616311364,0.6450753474213059,30
2,0.49356942176818847,1.0,0.7423576682931107,0.715525478524328,30
3,0.4162360668182374,1.0,0.8025774219223089,0.7659735482057433,30
4,0.5728549957275392,1.0,0.8373148164401262,0.7921370233191888,30
5,0.39349403381347664,1.0,0.8475112639921805,0.7886220952504694,30
6,0.5443446159362781,1.0,0.8357664937251499,0.7539399101146169,30
7,0.960247993469239,1.0,0.857626728504537,0.7666170859422582,30
8,1.8116663932800294,1.0,0.8796926482009154,0.7824502927606413,30
9,2.479663467407232,1.0,0.8706198085075127,0.7467543960937667,30
10,2.3518220901489273,1.0,0.8678492501516328,0.7230508806615232,30
11,2.1805749893188477,1.0,0.8694736091655108,0.717203337869578,30
12,3.0898532867431654,1.0,0.8745250551794939,0.7134245021639622,30
13,2.8938409805297853,1.0,0.8799504281639497,0.7251147521132497,30
14,2.77777900695801,1.0,0.8676075079411717,0.7015281792455692,30
15,2.8398739814758303,1.0,0.8674375263732311,0.6988494120951532,30
16,3.0780603408813474,1.0,0.8577720683349314,0.6746519351372267,30
17,3.0368720054626466,1.0,0.8637649222205209,0.681532862523169,30
18,2.963311004638672,1.0,0.8594387770424513,0.6727904529121117,30
19,2.982862949371338,1.0,0.8571133048936886,0.6674522720669349,30
